date,temp,clock,volts,memory_cpu,memory_gpu
2022/09/06 19:57:05,42.8'C,1000000000,1.3500V,384M,128M
2022/09/06 19:57:06,42.8'C,700000000,1.3500V,384M,128M
2022/09/06 19:57:07,42.8'C,699998000,1.3500V,384M,128M
2022/09/06 19:57:08,42.8'C,700000000,1.3500V,384M,128M
2022/09/06 19:57:09,42.2'C,700000000,1.3500V,384M,128M
2022/09/06 19:57:11,42.8'C,800000000,1.3500V,384M,128M
2022/09/06 19:57:12,42.8'C,700000000,1.3500V,384M,128M
2022/09/06 19:57:13,42.8'C,700000000,1.3500V,384M,128M
2022/09/06 19:57:14,42.8'C,700000000,1.3500V,384M,128M
2022/09/06 19:57:15,42.8'C,700000000,1.3500V,384M,128M
2022/09/06 19:57:33,43.3'C,1000000000,1.3500V,384M,128M
2022/09/06 19:57:34,43.3'C,700000000,1.3500V,384M,128M
2022/09/06 19:57:35,42.2'C,800000000,1.3500V,384M,128M
2022/09/06 19:57:36,42.2'C,700000000,1.3500V,384M,128M
2022/09/06 19:57:38,42.8'C,700000000,1.3500V,384M,128M
2022/09/06 19:57:39,42.8'C,700000000,1.3500V,384M,128M
2022/09/06 19:57:40,43.3'C,700000000,1.3500V,384M,128M
2022/09/06 19:57:41,42.8'C,700000000,1.3500V,384M,128M
2022/09/06 19:57:42,42.8'C,700000000,1.3500V,384M,128M
2022/09/06 19:57:43,43.3'C,700000000,1.3500V,384M,128M
